Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Udeh G.T., Udeh P.O.","57204161281;57204161362;","Comparative thermo-economic analysis of multi-fuel fired gas turbine power plant",2019,"Renewable Energy","133",,,"295","306",,,"10.1016/j.renene.2018.10.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054750539&doi=10.1016%2fj.renene.2018.10.036&partnerID=40&md5=0bc5b7b4102451d3862489af62d290f4","This study compares the performance of a thermal power plant fired by natural gas to that fired by biodiesel blend, from exergetic and economic perspectives. A thermodynamic model has been developed to predict the performance of a running plant and was used to conduct the comparative study. Plant life of 25 years has been used to assess the viability of the gas turbine power plant by analyzing the net present cost and the break-even point for both fuels. The plant specific fuel consumption for natural gas fired and biodiesel blend fired are 0.3151 [kg/kWh] and 0.3884 [kg/kWh] respectively. The system fired by natural gas only, has a payback period of 1.9 years, internal rate of return of 52% and exhaust temperature of 915.74 [K], while that fired by the biodiesel blend has a payback period of 2.4 years, internal rate of return of 60% and exhaust temperature of 858.50 [K]. Nevertheless, biodiesel blend is preferable because it is biodegradable, produces less emissions, and as a consequence, environmentally benign. Biodiesel blend would be more suitable for firing gas turbine engines, if the combustor is redesigned to improve its efficiency. Thermo-economic analysis of gas turbine power plants is essential to improve its thermodynamic and economic performance. © 2018 Elsevier Ltd","Bio-energy; Biodiesel blend-fired gas turbine; Electricity generation; Exergy rate; Gas turbine power plant; Thermodynamic and economic analysis",Article,,Scopus,2-s2.0-85054750539
"Fu G., Shu C.-W.","56208544200;57204098349;","An energy-conserving ultra-weak discontinuous Galerkin method for the generalized Korteweg–de Vries equation",2019,"Journal of Computational and Applied Mathematics","349",,,"41","51",,,"10.1016/j.cam.2018.09.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054437669&doi=10.1016%2fj.cam.2018.09.021&partnerID=40&md5=829484948c35debc8be88aa164661449","We propose an energy-conserving ultra-weak discontinuous Galerkin (DG) method for the generalized Korteweg– de Vries (KdV) equation in one dimension. Optimal a priori error estimate of order k+1 is obtained for the semi-discrete scheme for the KdV equation without the convection term on general nonuniform meshes when polynomials of degree k≥2 are used. We also numerically observe optimal convergence of the method for the KdV equation with linear or nonlinear convection terms. It is numerically observed for the new method to have a superior performance for long-time simulations over existing DG methods. © 2018 Elsevier B.V.","Discontinuous Galerkin method; Energy conserving; KdV",Article,,Scopus,2-s2.0-85054437669
"Simeone L., Ghandchi Tehrani M., Elliott S.","56433077300;14321426500;57204066057;","Level-dependent load in a pendulum like energy harvester",2019,"Mechanical Systems and Signal Processing","119",,,"244","254",,,"10.1016/j.ymssp.2018.08.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054397310&doi=10.1016%2fj.ymssp.2018.08.013&partnerID=40&md5=2838712baf04dcaa1bdf819d10056819","Typically ambient vibration generates a relative displacement between the suspended mass and the base in an energy harvester, and the induced electromotive force (EMF) in an electrical circuit is used to harvest electrical energy. Electromagnetic energy harvesters can operate at an optimum load, which provides the maximum power. However, due to the physical constraints of these devices, such as the limited available volume, the throw is also limited and operating at the optimum load is not feasible. By using a constant load, the optimum conditions cannot be achieved and the harvested power therefore can be reduced dramatically. To overcome this issue, the present paper proposes a new strategy, which consists of adjusting the electric load according to the input level at steady state condition. If the electric load, which is assumed to be a pure electrical resistance, is tuned according to the level of the harmonic excitation, then the harvester can always operate at the optimum conditions. To demonstrate the effectiveness of the level-dependent load, an energy harvesting device in the form of a pendulum is designed and manufactured, which is comprised of an oscillating beam sprung to the base, and attached to a generator. Across the terminals of the generator, an electric resistance (digital potentiometer) is mounted and the voltage produced is converted by Joule effect into thermal power, which is considered here as the harvested power. Experiments are conducted by exciting the harvester with a harmonic input at resonance via a shaker. A level-dependent load and a constant load are separately tested. The experimental results are in good agreement with the simulations. It is shown that by adjusting the load according to the input level, the harvested power is increased compared to a linear constant load. © 2018 Elsevier Ltd","Energy harvesting; Level-dependent; Nonlinear load",Article,,Scopus,2-s2.0-85054397310
"Lamprecht L., Ehrenpfordt R., Lim C.K., Zimmermann A.","57189593976;56449262700;57204102761;7201591544;","A 500 Hz-wide kinetic energy harvester: Outperforming macroscopic electrodynamic arrays with piezoelectric arrays",2019,"Mechanical Systems and Signal Processing","119",,,"222","243",,,"10.1016/j.ymssp.2018.09.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054523232&doi=10.1016%2fj.ymssp.2018.09.025&partnerID=40&md5=48f729d29170d298c2ae11478e27286e","Research based as well as industrialized harvester developments indicate that electrodynamic energy harvesters (EHs) outperform piezoelectric EHs in macroscopic designs for narrow banded resonance-based transducers. This paper investigates how multiple vibration EHs can be combined to a macroscopic array configuration that covers 100–600 Hz by aiming not on high resonance peak powers but on close spectral overlapping in lower power regions of 0.5 mW. The 500 Hz-wide array is able to harvest vibrational energy from a multitude of machinery, independent of vibration frequency determining shaft speeds or flows. The novelty of this paper consists in the result that combining piezoelectric EHs to arrays outperforms electrodynamic arrays with respect to their volumetric power density for 500 Hz-wide operation. Further optimization is reached by introducing nonlinearities for the piezoelectric array. The presented design allows a flat integration of piezoelectric EH-arrays as power supply for energy autonomous sensor systems. © 2018 Elsevier Ltd","Energy autonomous sensor system; Energy harvester array; Industry 4.0 (I4.0); Internet of things (IoT); Kinetic energy harvesting; Wireless sensor node (WSN)",Article,,Scopus,2-s2.0-85054523232
"Maxit L., Guasch O.","6508249940;55879934200;","A dual modal formulation for multiple flexural subsystems connected at a junction in energy-based models",2019,"Mechanical Systems and Signal Processing","119",,,"457","470",,1,"10.1016/j.ymssp.2018.09.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054587078&doi=10.1016%2fj.ymssp.2018.09.038&partnerID=40&md5=ee26395eba6ae09c6519539ce5c55963","Statistical energy methods in vibroacoustics, like the statistical energy analysis (SEA) or the statistical modal energy distribution analysis (SmEdA), rely on specific modal coupling assumptions (MCAs) between subsystem modes. These methods assume that the behavior of subsystem mode amplitudes mimic that of oscillators, that the modes within a subsystem are uncoupled, and that the coupling between two different subsystems only takes place through the interaction of resonant modes. In the case of more than two subsystems being connected at a junction, however, it becomes difficult to establish a modal interaction scheme for them. In SEA, the problem is avoided by resorting to the travelling wave approach instead of the modal one. Nevertheless, there is a need for other energy-based methods, like SmEdA, to deal with such a situation. In this work it is proposed to extend the displacement-stress dual formulation, originally intended for two subsystems, to the case of multiple flexural waveguides connected at a junction. Numerical results are presented for a test case consisting of a floor coupled to two walls at right angle. The fulfillment of the MCAs by the dual modal formulation is examined in terms of the impedance mismatch between the floor and the walls. © 2018 Elsevier Ltd","Component modal synthesis; Dual modal formulation; Mid-frequency modelling; Plate assembly; Power flow; Statistical energy analysis",Article,,Scopus,2-s2.0-85054587078
"Shao Y., Zeng L., Lin J., Wu W., Zhang H.","57201003647;55106636600;56491671300;55797685500;56979609400;","Trailing pulses self-focusing for ultrasonic-based damage detection in thick plates",2019,"Mechanical Systems and Signal Processing","119",,,"420","431",,,"10.1016/j.ymssp.2018.09.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054424650&doi=10.1016%2fj.ymssp.2018.09.031&partnerID=40&md5=abb02cff1d5501ef4c43ad313e8d2705","Ultrasonic detection is one of the most commonly used methods in nondestructive testing. Trailing pulses that can be observed in plates and cylindrical rods are a list of longitudinal ultrasonic waves. However, the complexity of trailing pulses brings challenges for ultrasonic–based nondestructive testing. In this paper, a trailing pulses self-focusing method for damage detection in thick plates is proposed by utilizing physical characters of trailing pulses. Firstly, the characteristics of trailing pulses are analyzed by theoretical derivation. Then, three steps of trailing pulses self-focusing method including correlation filtering, energy envelope screening and defect matching are introduced. After that, the trailing pulses of single defect can be focused and the accurate positions of defects can be obtained as well. Finally, a prospective application of trailing pulses, which uses ultrasound phased array (UPA) for nondestructive testing, is discussed. The experiment is carried out on an aluminum plate with a remarkable thickness, which illustrates the effectiveness of the method. © 2018 Elsevier Ltd","Correlation filtering; Defect matching; Energy envelope; Nondestructive testing; Trailing pulses self-focusing",Article,,Scopus,2-s2.0-85054424650
"Maxit L., Guasch O.","6508249940;55879934200;","Energy-based reformulated Craig-Bampton method for multiple flexural subsystems connected at a junction with low impedance mismatch",2019,"Mechanical Systems and Signal Processing","119",,,"471","485",,,"10.1016/j.ymssp.2018.09.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054565718&doi=10.1016%2fj.ymssp.2018.09.039&partnerID=40&md5=e4d70fc901226a5203ea66cee3e62006","Whereas the coupling between modes of two different subsystems is well-resolved in vibroacoustic energy-based methods, the situation becomes more intricate when several subsystems get connected at a common junction. In statistical energy analysis (SEA), the modal formulation is replaced by the travelling wave approach to solve the problem. However, this is not a viable option for other energy-based methods, like the statistical modal energy distribution analysis (SmEdA), and a modal coupling scheme is required for them. If there is a strong impedance mismatch between the multiple connected subsystems, the displacement-stress dual formulation offers a proper way to address the situation. Unfortunately, the latter fails if all involved subsystems have similar stiffness. In this work, the feasibility of the Craig-Bampton (CB) method to address such circumstance is explored. It is shown that the original CB technique does not fulfill the modal coupling assumptions of energy-based methods, so it is suggested to reformulate it to partially mitigate the problem. Numerical tests on a benchmark test are carried out to validate the proposal. The benchmark consists of a floor coupled with two walls at right angle, and it is analyzed for different impedance mismatch conditions. © 2018 Elsevier Ltd","Component modal synthesis; Craig-Bampton method; Mid-frequency modelling; Modal formulation; Plate assembly; Power flow; Statistical energy analysis",Article,,Scopus,2-s2.0-85054565718
"Kahl K.G., Stapel B., Frieling H.","35555162600;35796635900;9745501800;","Link between depression and cardiovascular diseases due to epigenomics and proteomics: Focus on energy metabolism",2019,"Progress in Neuro-Psychopharmacology and Biological Psychiatry","89",,,"146","157",,,"10.1016/j.pnpbp.2018.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053195630&doi=10.1016%2fj.pnpbp.2018.09.004&partnerID=40&md5=40f1f84d0af0957205971731384bf1bd","Major depression is the most common mental disorder and a leading cause of years lived with disability. In addition to the burden attributed to depressive symptoms and reduced daily life functioning, people with major depression are at increased risk of premature mortality, particularly due to cardiovascular diseases. Several studies point to a bi-directional relation between major depression and cardiovascular diseases, thereby indicating that both diseases may share common pathophysiological pathways. These include lifestyle factors (e.g. physical activity, smoking behavior), dysfunctions of endocrine systems (e.g. hypothalamus-pituitary adrenal axis), and a dysbalance of pro- and anti-inflammatory factors. Furthermore, recent research point to the role of epigenomic and proteomic factors, that are reviewed here with a particular focus on the mitochondrial energy metabolism. © 2018 Elsevier Inc.","Cardiovascular diseases; Energy metabolism; Epigenomics; Major depression; Proteomics",Review,,Scopus,2-s2.0-85053195630
"Lavidas G.","56422497400;","Energy and socio-economic benefits from the development of wave energy in Greece",2019,"Renewable Energy","132",,,"1290","1300",,1,"10.1016/j.renene.2018.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053467672&doi=10.1016%2fj.renene.2018.09.007&partnerID=40&md5=bca42b494138e3f8ce24ba51387d03ef","The study quantifies socio-economic benefits by the integration of wave energy in Greece, through resource examination, availability and deployment considerations. Greece has a large number of inhabited islands that mostly utilise conventional fuels for power generation, inclusion of wave energy will contribute both in terms of energy independence but also in job creation. The Greek region is often overlooked, due to its lower resources, but through proper converter selection energy benefits can be significant. Furthermore, milder resources offer opportunities for capital expenditure reductions, hence reducing cost of device and energy. Scenarios consider technological maturity, legislation, and resource potential to quantify future cumulative installations that can be developed. If a wave energy converter (WEC) is selected properly, accounting for climate variability and persistence, currently several WEC designs can operate at capacity factors near at from 20%. Based on a resource and availability assessment, the learning rates from an incremental approach are more suitable and allow cost reductions. Job creation targets island regions where majority of exploitable resource is located and can provide up to 1400 direct jobs. Adaptation of wave energy by Greece has the potential to offer major technological, energy and employment benefits. © 2018","Aegean sea; Learning curves; Renewable energy jobs; Wave energy",Article,,Scopus,2-s2.0-85053467672
"Clark C.E., Miller A., DuPont B.","57201396341;56321354600;56572181400;","An analytical cost model for co-located floating wind-wave energy arrays",2019,"Renewable Energy","132",,,"885","897",,,"10.1016/j.renene.2018.08.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051948037&doi=10.1016%2fj.renene.2018.08.043&partnerID=40&md5=6c5421a6d8017174820893320104366f","Offshore wind and wave energy are co-located resources, and both industries are driven to reduce cost of energy. Due to the maturity of offshore wind technology and continued growth of both offshore floating wind and wave energy converter (WEC) technology, there is new opportunity to combine wind and wave technologies in the same leased ocean space through co-located array development. Co-location is projected to have synergistic effects that reduce direct and indirect costs for developments, but few of these synergistic effects have been quantified, and many have not been related to cost. Moreover, there is currently no cost model that incorporates these effects. In this study, we address this need by developing a cost model that represents co-located array developments, particularly for floating offshore wind and WEC technologies. We exemplify the use of this cost model through a case study. Results suggest floating wind-wave co-located arrays are advantageous to WEC-only or floating wind-only. These results are contingent on our assumptions regarding cost categories and values included in the model and also the power production and reliability of the devices. We conclude by identifying research gaps and uncertainties to be minimized in future improvements of the model. © 2018 Elsevier Ltd","Co-location; Cost model; Floating offshore wind energy; Offshore renewable energy; Wave energy",Article,,Scopus,2-s2.0-85051948037
"Chang B., Starcher K.","35387694500;6602404447;","Evaluation of wind and solar energy investments in Texas",2019,"Renewable Energy","132",,,"1348","1359",,,"10.1016/j.renene.2018.09.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054784566&doi=10.1016%2fj.renene.2018.09.037&partnerID=40&md5=9e3f513c7563ea5f608962dae7b2246d","The primary objective of the project is to evaluate the benefits of wind and solar energy and determine economical investment sites for wind and solar energy in Texas with economic parameters including payback periods. A 50 kW wind turbine system and a 42 kW PV system were used to collect field data. Data analysis enabled yearly energy production and payback period of the two systems. The average payback period of a solar PV system was found to be within a range of 2–20 years because the large range of the payback period for PV systems were heavily influenced by incentives. This is in contrast to wind energy, where the most important factor was found to be wind resources of a region. Payback period for the installed wind system in Texas with federal tax credits was determined to be approximately 13 years. © 2018 Elsevier Ltd","Feasibility study; Payback period; Renewable energy; Solar photovoltaic (PV) energy; Wind energy",Article,,Scopus,2-s2.0-85054784566
